Bright Allotey,ガーナ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/bright-allotey/profil/spieler/286209
Abraham Annan,ガーナ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/abraham-annan/profil/spieler/286211
Edmund Owusu-Ansah,ガーナ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/edmund-owusu-ansah/profil/spieler/170744
Edgar Robles,パラグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/edgar-robles/profil/spieler/73641
Nelson Romero,パラグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/nelson-romero/profil/spieler/68148
Seung-min Baek,韓国,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/seung-min-baek/profil/spieler/91090
