name,country,position,image,playerpage
Alfredo Morales,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/58500-1645986059.jpg?lm=1,https://www.transfermarkt.jp/alfredo-morales/profil/spieler/58500
Julian Green,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/161204-1657045398.jpg?lm=1,https://www.transfermarkt.jp/julian-green/profil/spieler/161204
Benny Feilhaber,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/33118-1550086153.jpg?lm=1,https://www.transfermarkt.jp/benny-feilhaber/profil/spieler/33118
Dax McCarty,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/39479-1646126043.jpg?lm=1,https://www.transfermarkt.jp/dax-mccarty/profil/spieler/39479
Eric Alexander,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/146031-1550077468.jpg?lm=1,https://www.transfermarkt.jp/eric-alexander/profil/spieler/146031
Brek Shea,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/71107-1618682266.jpg?lm=1,https://www.transfermarkt.jp/brek-shea/profil/spieler/71107
Brad Davis,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/39842-1464161953.jpg?lm=1,https://www.transfermarkt.jp/brad-davis/profil/spieler/39842
Sacha Kljestan,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/39475-1646080078.JPG?lm=1,https://www.transfermarkt.jp/sacha-kljestan/profil/spieler/39475
Luis Gil,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/131177-1663415621.jpg?lm=1,https://www.transfermarkt.jp/luis-gil/profil/spieler/131177
Fabian Johnson,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/31041-1533288897.jpg?lm=1,https://www.transfermarkt.jp/fabian-johnson/profil/spieler/31041
Clint Dempsey,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/27577-1520798945.jpg?lm=1,https://www.transfermarkt.jp/clint-dempsey/profil/spieler/27577
Landon Donovan,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/68-1476299967.jpg?lm=1,https://www.transfermarkt.jp/landon-donovan/profil/spieler/68
Jozy Altidore,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/39378-1618856969.jpg?lm=1,https://www.transfermarkt.jp/jozy-altidore/profil/spieler/39378
Aron Jóhannsson,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/119169-1535123791.jpg?lm=1,https://www.transfermarkt.jp/aron-johannsson/profil/spieler/119169
Terrence Boyd,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/103064-1660553641.jpg?lm=1,https://www.transfermarkt.jp/terrence-boyd/profil/spieler/103064
Hérculez Gómez,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/39465-1476358592.jpg?lm=1,https://www.transfermarkt.jp/herculez-gomez/profil/spieler/39465
Chris Wondolowski,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/39856-1618851148.jpg?lm=1,https://www.transfermarkt.jp/chris-wondolowski/profil/spieler/39856
Juan Agudelo,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/131171-1618686115.JPG?lm=1,https://www.transfermarkt.jp/juan-agudelo/profil/spieler/131171
Eddie Johnson,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/38773-1589275908.jpg?lm=1,https://www.transfermarkt.jp/eddie-johnson/profil/spieler/38773
Bobby Wood,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/72519-1645892574.jpg?lm=1,https://www.transfermarkt.jp/bobby-wood/profil/spieler/72519
Will Bruin,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/173486-1647636747.jpg?lm=1,https://www.transfermarkt.jp/will-bruin/profil/spieler/173486
Jack McInerney,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/131186-1524393118.jpg?lm=1,https://www.transfermarkt.jp/jack-mcinerney/profil/spieler/131186
Sergio Romero,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/30690-1596803710.jpg?lm=1,https://www.transfermarkt.jp/sergio-romero/profil/spieler/30690
Agustín Orión,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/19988-1417606710.jpg?lm=1,https://www.transfermarkt.jp/agustin-orion/profil/spieler/19988
Óscar Ustari,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/s_3755_3302_2012_1.jpg?lm=1,https://www.transfermarkt.jp/oscar-ustari/profil/spieler/3755
Ezequiel Garay,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/35939-1467210304.jpg?lm=1,https://www.transfermarkt.jp/ezequiel-garay/profil/spieler/35939
Nicolás Otamendi,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/54781-1669835534.jpg?lm=1,https://www.transfermarkt.jp/nicolas-otamendi/profil/spieler/54781
Lisandro López,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/125019-1670616387.jpg?lm=1,https://www.transfermarkt.jp/lisandro-lopez/profil/spieler/125019
Marcos Rojo,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/93176-1633537711.JPG?lm=1,https://www.transfermarkt.jp/marcos-rojo/profil/spieler/93176
Facundo Roncaglia,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/61546-1583311017.jpg?lm=1,https://www.transfermarkt.jp/facundo-roncaglia/profil/spieler/61546
Fabricio Coloccini,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/6150-1637344797.JPG?lm=1,https://www.transfermarkt.jp/fabricio-coloccini/profil/spieler/6150
Hugo Campagnaro,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/21782-1410340683.jpg?lm=1,https://www.transfermarkt.jp/hugo-campagnaro/profil/spieler/21782
Federico Fernández,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/85475-1520418021.jpg?lm=1,https://www.transfermarkt.jp/federico-fernandez/profil/spieler/85475
Lucas Orbán,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/110309-1447247400.jpg?lm=1,https://www.transfermarkt.jp/lucas-orban/profil/spieler/110309
José María Basanta,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_55997_2407_2013_10_10_1.jpg?lm=1,https://www.transfermarkt.jp/jose-maria-basanta/profil/spieler/55997
Martín Demichelis,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/2963-1461254471.jpg?lm=1,https://www.transfermarkt.jp/martin-demichelis/profil/spieler/2963
Emanuel Mammana,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/275512-1607082966.png?lm=1,https://www.transfermarkt.jp/emanuel-mammana/profil/spieler/275512
Cristian Ansaldi,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/55854-1632474398.jpg?lm=1,https://www.transfermarkt.jp/cristian-ansaldi/profil/spieler/55854
Clemente Rodríguez,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_20681_585_2012_1.jpg?lm=1,https://www.transfermarkt.jp/clemente-rodriguez/profil/spieler/20681
Pablo Zabaleta,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/20007-1454413148.jpg?lm=1,https://www.transfermarkt.jp/pablo-zabaleta/profil/spieler/20007
Gino Peruzzi,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/138110-1635707643.JPG?lm=1,https://www.transfermarkt.jp/gino-peruzzi/profil/spieler/138110
Javier Mascherano,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/19981-1465280515.jpg?lm=1,https://www.transfermarkt.jp/javier-mascherano/profil/spieler/19981
Enzo Pérez,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/56066-1625771376.png?lm=1,https://www.transfermarkt.jp/enzo-perez/profil/spieler/56066
Lucas Biglia,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/26721-1669376509.jpg?lm=1,https://www.transfermarkt.jp/lucas-biglia/profil/spieler/26721
Fernando Gago,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_38954_1049_2012_10_24_1.jpg?lm=1,https://www.transfermarkt.jp/fernando-gago/profil/spieler/38954
Francisco Cerro,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/125107-1639410271.JPG?lm=1,https://www.transfermarkt.jp/francisco-cerro/profil/spieler/125107
Ricardo Álvarez,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/76077-1638748437.JPG?lm=1,https://www.transfermarkt.jp/ricardo-alvarez/profil/spieler/76077
Éver Banega,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/12249-1447239816.jpg?lm=1,https://www.transfermarkt.jp/ever-banega/profil/spieler/12249
José Sosa,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/20137-1603567042.jpeg?lm=1,https://www.transfermarkt.jp/jose-sosa/profil/spieler/20137
Augusto Fernández,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/39151-1447159801.jpg?lm=1,https://www.transfermarkt.jp/augusto-fernandez/profil/spieler/39151
Maxi Rodríguez,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/7895-1484219186.jpg?lm=1,https://www.transfermarkt.jp/maxi-rodriguez/profil/spieler/7895
Lionel Messi,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/28003-1631171950.jpg?lm=1,https://www.transfermarkt.jp/lionel-messi/profil/spieler/28003
Ángel Di María,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/45320-1663576797.jpg?lm=1,https://www.transfermarkt.jp/angel-di-maria/profil/spieler/45320
Erik Lamela,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/111630-1601318627.jpg?lm=1,https://www.transfermarkt.jp/erik-lamela/profil/spieler/111630
Ezequiel Lavezzi,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/50570-1595579124.jpg?lm=1,https://www.transfermarkt.jp/ezequiel-lavezzi/profil/spieler/50570
Sergio Agüero,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/26399-1580460866.jpg?lm=1,https://www.transfermarkt.jp/sergio-aguero/profil/spieler/26399
Gonzalo Higuaín,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/39153-1647683336.jpg?lm=1,https://www.transfermarkt.jp/gonzalo-higuain/profil/spieler/39153
Rodrigo Palacio,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/39099-1410955127.jpg?lm=1,https://www.transfermarkt.jp/rodrigo-palacio/profil/spieler/39099
Azzedine Doukha,アルジェリア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/175462-1622122692.jpg?lm=1,https://www.transfermarkt.jp/azzedine-doukha/profil/spieler/175462
Cédric Si Mohammed,アルジェリア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/s_150127_16265_2012_1.jpg?lm=1,https://www.transfermarkt.jp/cedric-si-mohammed/profil/spieler/150127
Raïs M'Bolhi,アルジェリア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/33465-1450292325.jpg?lm=1,https://www.transfermarkt.jp/rais-mbolhi/profil/spieler/33465
Sofiane Khedairia,アルジェリア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/sofiane-khedairia/profil/spieler/93927
Mourad Berrefane,アルジェリア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/162396-1493924401.png?lm=1,https://www.transfermarkt.jp/mourad-berrefane/profil/spieler/162396
Aïssa Mandi,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/80293-1562248733.png?lm=1,https://www.transfermarkt.jp/aissa-mandi/profil/spieler/80293
