name,country,position,image,worth,age
Nick Rimando,アメリカ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/39434-1549875750.jpg?lm=1,466667,34
Bill Hamid,アメリカ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/77714-1657272444.jpg?lm=1,583333,23
Sean Johnson,アメリカ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/126630-1618691914.jpg?lm=1,483333,24
Michael Parkhurst,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/39897-1550308779.jpg?lm=1,800000,30
Brad Evans,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/59460-1520963835.JPG?lm=1,633333,28
Clarence Goodson,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/39467-1606065676.jpg?lm=1,450000,31
Matt Besler,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/105975-1618608201.jpg?lm=1,933333,27
Omar González,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/99690-1646576219.jpg?lm=1,850000,25
Will Packwood,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_129077_337_2014_03_03_1.jpg?lm=1,150000,20
DaMarcus Beasley,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/20584-1551295816.jpg?lm=1,900000,31
Graham Zusi,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/108353-1647549344.jpg?lm=1,666667,27
Tony Beltran,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/54927-1549874563.jpg?lm=1,500000,26
Kyle Beckerman,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/26995-1584044065.JPG?lm=1,750000,31
Benny Feilhaber,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/33118-1550086153.jpg?lm=1,633333,29
Dax McCarty,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/39479-1646126043.jpg?lm=1,831250,26
Eric Alexander,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/146031-1550077468.jpg?lm=1,525000,25
Brad Davis,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/39842-1464161953.jpg?lm=1,750000,32
Luis Gil,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/131177-1663415621.jpg?lm=1,500000,20
Landon Donovan,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/68-1476299967.jpg?lm=1,1250000,31
Chris Wondolowski,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/39856-1618851148.jpg?lm=1,1350000,31
Eddie Johnson,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/38773-1589275908.jpg?lm=1,787500,29
Will Bruin,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/173486-1647636747.jpg?lm=1,650000,24
Jack McInerney,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/131186-1524393118.jpg?lm=1,533333,21
Agustín Orión,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/19988-1417606710.jpg?lm=1,1166667,33
Ezequiel Garay,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/35939-1467210304.jpg?lm=1,20000000,27
Emanuel Mammana,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/275512-1607082966.png?lm=1,250000,17
Fernando Gago,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_38954_1049_2012_10_24_1.jpg?lm=1,3700000,27
Rodrigo Muñoz,ウルグアイ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/s_76615_9875_2012_1.jpg?lm=1,387500,32
Álvaro Fernández,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/76213-1476358574.jpg?lm=1,1200000,28
Camilo Vargas,コロンビア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/74113-1646412495.jpeg?lm=1,1050000,24
Alexander Mejía,コロンビア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/77172-1419261021.jpg?lm=1,875000,25
Macnelly Torres,コロンビア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/63198-1468575401.jpg?lm=1,983333,29
Roy Miller,コスタリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/36454-1520795223.JPG?lm=1,433333,29
Waylon Francis,コスタリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/211587-1618658342.jpg?lm=1,475000,23
Rodney Wallace,コスタリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/99859-1550266444.jpg?lm=1,483333,25
Álvaro Saborío,コスタリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/35378-1464104476.jpg?lm=1,708333,31
Jairo Arrieta,コスタリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/51620-1482167790.jpg?lm=1,450000,30
Miguel Pinto,チリ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/40431-1439469827.png?lm=1,1350000,31
Cristopher Toselli,チリ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/72903-1497615220.jpg?lm=1,1200000,25
Johnny Herrera,チリ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/10582-1497615304.jpg?lm=1,640000,32
Paulo Garcés,チリ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/s_67048_1037_2012_1.jpg?lm=1,716667,29
Osvaldo González,チリ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/76391-1506685397.png?lm=1,1020000,29
José Rojas,チリ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,660000,30
Albert Acevedo,チリ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,530000,30
Cristián Álvarez,チリ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,390000,33
Marcos González,チリ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/28087-1469552641.png?lm=1,300000,34
Fernando Cordero,チリ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,960000,26
Gonzalo Barriga,チリ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,370000,29
José Pedro Fuenzalida,チリ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/72602-1497615733.jpg?lm=1,650000,28
Gonzalo Fierro,チリ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,470000,30
Braulio Leal,チリ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,350000,32
Sebastián Martínez,チリ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_207393_1037_2012_1.jpg?lm=1,750000,20
César Fuentes,チリ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/189794-1653050640.JPG?lm=1,630000,20
Esteban Pavez,チリ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/131233-1554732299.jpg?lm=1,950000,23
Fernando Meneses,チリ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/65946-1469976617.png?lm=1,1425000,29
Martín Rodríguez,チリ,フォワード,https://img.a.transfermarkt.technology/portrait/small/187309-1636936425.jpeg?lm=1,570000,19
Juan Delgado,チリ,フォワード,https://img.a.transfermarkt.technology/portrait/small/184992-1579704152.png?lm=1,580000,20
Rubén Farfán,チリ,フォワード,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,400000,22
Esteban Paredes,チリ,フォワード,https://img.a.transfermarkt.technology/portrait/small/s_79022_4961_2013_11_13_1.jpg?lm=1,1133333,33
Carlos Muñoz,チリ,フォワード,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,1125000,25
Gustavo Canales,チリ,フォワード,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,300000,31
Austin Ejide,ナイジェリア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/s_37723_2976_2013_01_23_1.jpg?lm=1,350000,29
Dele Alampasu,ナイジェリア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/295310-1534350345.png?lm=1,25000,17
Kenneth Omeruo,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/131708-1541162235.jpg?lm=1,1000000,20
Erhun Obanor,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/447213-1605133613.jpg?lm=1,150000,19
Francis Benjamin,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,100000,21
Abdullahi Shehu,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/262687-1664805478.png?lm=1,50000,21
Ikenna Paul Hillary,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,50000,23
John Ogu,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_84700_2990_2013_06_24_1.jpg?lm=1,1000000,25
Sunday Mba,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_223424_2930_2013_06_24_1.jpg?lm=1,400000,25
Ifeanyi Benjamin,ナイジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/138175-1622916554.jpg?lm=1,50000,23
Barnabas Imenger Jr.,ナイジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/s_223550_701_2012_1.jpg?lm=1,35000,23
Gbolahan Salami,ナイジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/127777-1490688812.jpg?lm=1,25000,22
Christian Pyagbara,ナイジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,100000,18
Abubakar Ibrahim Aliyu,ナイジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,25000,19
Christian Obiozor,ナイジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,25000,20
Érick Torres,メキシコ,フォワード,https://img.a.transfermarkt.technology/portrait/small/170016-1618606362.JPG?lm=1,1183333,21
