name,country,position,image,playerpage
Agustín Marchesín,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/54534-1606395064.png?lm=1,https://www.transfermarkt.jp/agustin-marchesin/profil/spieler/54534
Franco Armani,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/119634-1625760128.png?lm=1,https://www.transfermarkt.jp/franco-armani/profil/spieler/119634
Nahuel Guzmán,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/87859-1521646068.jpg?lm=1,https://www.transfermarkt.jp/nahuel-guzman/profil/spieler/87859
Willy Caballero,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/19948-1456759418.jpg?lm=1,https://www.transfermarkt.jp/willy-caballero/profil/spieler/19948
Nicolás Otamendi,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/54781-1669835534.jpg?lm=1,https://www.transfermarkt.jp/nicolas-otamendi/profil/spieler/54781
Marcos Rojo,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/93176-1633537711.JPG?lm=1,https://www.transfermarkt.jp/marcos-rojo/profil/spieler/93176
Germán Pezzella,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/113133-1668180931.jpg?lm=1,https://www.transfermarkt.jp/german-pezzella/profil/spieler/113133
Federico Fazio,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/45314-1644915146.jpg?lm=1,https://www.transfermarkt.jp/federico-fazio/profil/spieler/45314
Emanuel Mammana,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/275512-1607082966.png?lm=1,https://www.transfermarkt.jp/emanuel-mammana/profil/spieler/275512
Ramiro Funes Mori,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/11111-1418827022.jpg?lm=1,https://www.transfermarkt.jp/ramiro-funes-mori/profil/spieler/11111
Emiliano Insúa,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/45599-1583574333.JPG?lm=1,https://www.transfermarkt.jp/emiliano-insua/profil/spieler/45599
Gabriel Mercado,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/45319-1418827134.jpg?lm=1,https://www.transfermarkt.jp/gabriel-mercado/profil/spieler/45319
Marcos Acuña,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/60410-1668181014.jpg?lm=1,https://www.transfermarkt.jp/marcos-acuna/profil/spieler/60410
Nicolás Tagliafico,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/131225-1668181437.jpg?lm=1,https://www.transfermarkt.jp/nicolas-tagliafico/profil/spieler/131225
Cristian Ansaldi,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/55854-1632474398.jpg?lm=1,https://www.transfermarkt.jp/cristian-ansaldi/profil/spieler/55854
Fabricio Bustos,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/275381-1635922877.JPG?lm=1,https://www.transfermarkt.jp/fabricio-bustos/profil/spieler/275381
Leandro Paredes,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/166237-1639582931.jpg?lm=1,https://www.transfermarkt.jp/leandro-paredes/profil/spieler/166237
