name,country,position,image,playerpage
Sean Johnson,アメリカ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/126630-1618691914.jpg?lm=1,https://www.transfermarkt.jp/sean-johnson/profil/spieler/126630
Ethan Horvath,アメリカ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/242284-1608457892.jpg?lm=1,https://www.transfermarkt.jp/ethan-horvath/profil/spieler/242284
Cameron Carter-Vickers,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/341049-1654888707.jpg?lm=1,https://www.transfermarkt.jp/cameron-carter-vickers/profil/spieler/341049
Walker Zimmerman,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/245337-1646130087.jpg?lm=1,https://www.transfermarkt.jp/walker-zimmerman/profil/spieler/245337
Aaron Long,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/271072-1646141155.JPG?lm=1,https://www.transfermarkt.jp/aaron-long/profil/spieler/271072
Tim Ream,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/145466-1628697630.jpg?lm=1,https://www.transfermarkt.jp/tim-ream/profil/spieler/145466
Antonee Robinson,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/349701-1536047233.jpg?lm=1,https://www.transfermarkt.jp/antonee-robinson/profil/spieler/349701
Sergiño Dest,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/361104-1581956984.jpg?lm=1,https://www.transfermarkt.jp/sergino-dest/profil/spieler/361104
Joe Scally,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/504153-1662965954.jpg?lm=1,https://www.transfermarkt.jp/joe-scally/profil/spieler/504153
DeAndre Yedlin,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/255916-1647683071.jpg?lm=1,https://www.transfermarkt.jp/deandre-yedlin/profil/spieler/255916
Shaq Moore,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/336168-1658665728.jpg?lm=1,https://www.transfermarkt.jp/shaq-moore/profil/spieler/336168
Tyler Adams,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/332705-1666472142.jpg?lm=1,https://www.transfermarkt.jp/tyler-adams/profil/spieler/332705
Kellyn Acosta,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/189895-1646503608.jpg?lm=1,https://www.transfermarkt.jp/kellyn-acosta/profil/spieler/189895
Weston McKennie,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/332697-1642687384.jpg?lm=1,https://www.transfermarkt.jp/weston-mckennie/profil/spieler/332697
Yunus Musah,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/503991-1669382799.jpg?lm=1,https://www.transfermarkt.jp/yunus-musah/profil/spieler/503991
Cristian Roldán,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/354792-1647635907.jpg?lm=1,https://www.transfermarkt.jp/cristian-roldan/profil/spieler/354792
Luca de la Torre,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/315762-1657208727.jpg?lm=1,https://www.transfermarkt.jp/luca-de-la-torre/profil/spieler/315762
Giovanni Reyna,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/504215-1636537626.jpg?lm=1,https://www.transfermarkt.jp/giovanni-reyna/profil/spieler/504215
Brenden Aaronson,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/393323-1583780617.JPG?lm=1,https://www.transfermarkt.jp/brenden-aaronson/profil/spieler/393323
Jordan Morris,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/337807-1647636174.jpg?lm=1,https://www.transfermarkt.jp/jordan-morris/profil/spieler/337807
Christian Pulisic,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/315779-1638811757.jpg?lm=1,https://www.transfermarkt.jp/christian-pulisic/profil/spieler/315779
Timothy Weah,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/370846-1574781500.jpg?lm=1,https://www.transfermarkt.jp/timothy-weah/profil/spieler/370846
Josh Sargent,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/393325-1665128005.jpg?lm=1,https://www.transfermarkt.jp/josh-sargent/profil/spieler/393325
Jesús Ferreira,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/474249-1645956654.jpg?lm=1,https://www.transfermarkt.jp/jesus-ferreira/profil/spieler/474249
Haji Wright,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/315291-1665561098.png?lm=1,https://www.transfermarkt.jp/haji-wright/profil/spieler/315291
Gerónimo Rulli,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/229604-1665059858.jpg?lm=1,https://www.transfermarkt.jp/geronimo-rulli/profil/spieler/229604
Franco Armani,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/119634-1625760128.png?lm=1,https://www.transfermarkt.jp/franco-armani/profil/spieler/119634
Cristian Romero,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/355915-1665609429.jpg?lm=1,https://www.transfermarkt.jp/cristian-romero/profil/spieler/355915
Lisandro Martínez,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/480762-1660913217.jpg?lm=1,https://www.transfermarkt.jp/lisandro-martinez/profil/spieler/480762
Germán Pezzella,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/113133-1668180931.jpg?lm=1,https://www.transfermarkt.jp/german-pezzella/profil/spieler/113133
Nicolás Otamendi,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/54781-1669835534.jpg?lm=1,https://www.transfermarkt.jp/nicolas-otamendi/profil/spieler/54781
Marcos Acuña,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/60410-1668181014.jpg?lm=1,https://www.transfermarkt.jp/marcos-acuna/profil/spieler/60410
Nicolás Tagliafico,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/131225-1668181437.jpg?lm=1,https://www.transfermarkt.jp/nicolas-tagliafico/profil/spieler/131225
Juan Foyth,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/480763-1662668281.jpg?lm=1,https://www.transfermarkt.jp/juan-foyth/profil/spieler/480763
Nahuel Molina,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/424042-1629455297.jpg?lm=1,https://www.transfermarkt.jp/nahuel-molina/profil/spieler/424042
