name,country,position,image,worth,age
Agustín Marchesín,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/54534-1606395064.png?lm=1,3500000,30
Franco Armani,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/119634-1625760128.png?lm=1,3500000,31
Nahuel Guzmán,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/87859-1521646068.jpg?lm=1,3000000,32
Willy Caballero,アルゼンチン,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/19948-1456759418.jpg?lm=1,1000000,36
Nicolás Otamendi,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/54781-1669835534.jpg?lm=1,35000000,29
Marcos Rojo,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/93176-1633537711.JPG?lm=1,18000000,27
Germán Pezzella,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/113133-1668180931.jpg?lm=1,13000000,26
Federico Fazio,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/45314-1644915146.jpg?lm=1,13000000,31
Emanuel Mammana,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/275512-1607082966.png?lm=1,12000000,22
Ramiro Funes Mori,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/11111-1418827022.jpg?lm=1,12000000,26
Emiliano Insúa,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/45599-1583574333.JPG?lm=1,5000000,29
Gabriel Mercado,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/45319-1418827134.jpg?lm=1,5000000,30
Marcos Acuña,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/60410-1668181014.jpg?lm=1,14000000,26
Nicolás Tagliafico,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/131225-1668181437.jpg?lm=1,7000000,25
Cristian Ansaldi,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/55854-1632474398.jpg?lm=1,5000000,31
Fabricio Bustos,アルゼンチン,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/275381-1635922877.JPG?lm=1,10000000,22
Leandro Paredes,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/166237-1639582931.jpg?lm=1,20000000,23
Lucas Biglia,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/26721-1669376509.jpg?lm=1,15000000,32
Matías Kranevitter,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/240900-1572532844.png?lm=1,7000000,25
Javier Mascherano,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/19981-1465280515.jpg?lm=1,6000000,33
Enzo Pérez,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/56066-1625771376.png?lm=1,2500000,32
Giovani Lo Celso,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/348795-1591195792.jpg?lm=1,20000000,21
Éver Banega,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/12249-1447239816.jpg?lm=1,12000000,29
Fernando Belluschi,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/26460-1441286422.jpg?lm=1,2250000,34
Pablo Pérez,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/55884-1635921417.JPG?lm=1,2000000,32
Manuel Lanzini,アルゼンチン,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/135853-1520606166.jpg?lm=1,18000000,24
Diego Perotti,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/54984-1603565967.jpeg?lm=1,20000000,29
Papu Gómez,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/20005-1670101551.jpg?lm=1,18000000,30
Lionel Messi,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/28003-1631171950.jpg?lm=1,180000000,30
Ángel Di María,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/45320-1663576797.jpg?lm=1,40000000,29
Ángel Correa,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/266807-1622131083.jpg?lm=1,20000000,22
Eduardo Salvio,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/84535-1656347716.jpg?lm=1,20000000,27
Cristian Pavón,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/373170-1583574833.JPG?lm=1,20000000,22
Maximiliano Meza,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/282476-1542015561.jpg?lm=1,12000000,25
Emiliano Rigoni,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/282544-1557249823.png?lm=1,7500000,25
Paulo Dybala,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/206050-1641810495.jpg?lm=1,100000000,24
Sergio Agüero,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/26399-1580460866.jpg?lm=1,75000000,29
Gonzalo Higuaín,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/39153-1647683336.jpg?lm=1,60000000,30
Lautaro Martínez,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/406625-1661352429.jpg?lm=1,25000000,20
Darío Benedetto,アルゼンチン,フォワード,https://img.a.transfermarkt.technology/portrait/small/92693-1511177636.jpg?lm=1,10000000,27
Jack Butland,イングランド,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/128899-1528450176.jpg?lm=1,18000000,24
Joe Hart,イングランド,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/40204-1471254796.jpg?lm=1,12000000,30
Nick Pope,イングランド,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/192080-1663841362.jpg?lm=1,5000000,25
Tom Heaton,イングランド,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/34130-1464863026.jpg?lm=1,4000000,31
Angus Gunn,イングランド,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/201574-1543493507.jpg?lm=1,2000000,22
John Stones,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/186590-1583400326.jpg?lm=1,40000000,23
Eric Dier,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/175722-1665608595.jpg?lm=1,40000000,23
Harry Maguire,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/177907-1663841733.jpg?lm=1,15000000,24
Joe Gomez,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/256178-1595946530.jpg?lm=1,18000000,20
Michael Keane,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/118534-1469714937.jpg?lm=1,20000000,24
Phil Jones,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/117996-1469631370.jpg?lm=1,18000000,25
James Tarkowski,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/173504-1655979328.jpg?lm=1,6000000,25
Alfie Mawson,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/287431-1521123446.jpg?lm=1,12000000,23
Gary Cahill,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/27511-1528450444.jpg?lm=1,15000000,32
Danny Rose,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/50174-1518794758.jpg?lm=1,30000000,27
Ryan Bertrand,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/40611-1518794490.jpg?lm=1,20000000,28
Ashley Young,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/14086-1528450650.jpg?lm=1,5000000,32
Kyle Walker,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/95424-1668090663.jpg?lm=1,40000000,27
Trent Alexander-Arnold,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/314353-1662621037.jpg?lm=1,8000000,19
Kieran Trippier,イングランド,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/95810-1517913986.jpg?lm=1,15000000,27
Jack Cork,イングランド,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/40613-1518793899.jpg?lm=1,9000000,28
Jake Livermore,イングランド,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/61832-1490364126.jpg?lm=1,9000000,28
Alex Oxlade-Chamberlain,イングランド,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/143424-1471253943.jpg?lm=1,30000000,24
Jordan Henderson,イングランド,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/61651-1662621084.jpg?lm=1,25000000,27
Lewis Cook,イングランド,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/249089-1468228969.jpg?lm=1,6000000,20
Fabian Delph,イングランド,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/50362-1583252426.jpg?lm=1,10000000,28
Ruben Loftus-Cheek,イングランド,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/202886-1518793502.jpg?lm=1,8000000,21
Dele Alli,イングランド,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/207929-1665670825.png?lm=1,80000000,21
Jesse Lingard,イングランド,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/141660-1476872812.jpg?lm=1,25000000,25
Adam Lallana,イングランド,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/43530-1662663337.jpg?lm=1,25000000,29
Raheem Sterling,イングランド,フォワード,https://img.a.transfermarkt.technology/portrait/small/134425-1577051521.jpg?lm=1,80000000,23
Marcus Rashford,イングランド,フォワード,https://img.a.transfermarkt.technology/portrait/small/258923-1565603308.png?lm=1,50000000,20
Harry Kane,イングランド,フォワード,https://img.a.transfermarkt.technology/portrait/small/132098-1623778520.jpg?lm=1,120000000,24
Jamie Vardy,イングランド,フォワード,https://img.a.transfermarkt.technology/portrait/small/197838-1583156197.jpg?lm=1,18000000,30
Danny Welbeck,イングランド,フォワード,https://img.a.transfermarkt.technology/portrait/small/67063-1528450601.jpg?lm=1,15000000,27
Dominic Solanke,イングランド,フォワード,https://img.a.transfermarkt.technology/portrait/small/258889-1546590491.jpg?lm=1,8000000,20
Tammy Abraham,イングランド,フォワード,https://img.a.transfermarkt.technology/portrait/small/331726-1661352750.jpg?lm=1,10000000,20
Martín Campaña,ウルグアイ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/s_91755_20189_2012_1.jpg?lm=1,5000000,28
Martín Silva,ウルグアイ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/76398-1523614352.jpg?lm=1,2000000,35
José María Giménez,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/250845-1664970029.jpg?lm=1,35000000,22
Diego Godín,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/54928-1547721268.jpg?lm=1,35000000,31
Sebastián Coates,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/102427-1666100911.jpg?lm=1,9000000,27
Mauricio Lemos,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/303140-1603566823.jpeg?lm=1,6000000,22
Martín Cáceres,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/54935-1666428123.jpg?lm=1,2500000,31
Diego Laxalt,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/230552-1628412339.png?lm=1,13000000,25
Gastón Silva,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/189452-1599151416.jpg?lm=1,2500000,24
Guillermo Varela,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/188862-1605115531.png?lm=1,2000000,24
Maximiliano Pereira,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/57834-1542105435.png?lm=1,1500000,33
Lucas Torreira,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/318077-1660050345.jpg?lm=1,30000000,22
Matías Vecino,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/143812-1596003367.jpg?lm=1,21000000,26
Rodrigo Bentancur,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/354362-1596001806.jpg?lm=1,15000000,20
Federico Valverde,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/369081-1581501132.jpg?lm=1,3000000,19
Cristian Rodríguez,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/33448-1581878632.jpg?lm=1,500000,32
Álvaro González,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/55957-1463040928.jpg?lm=1,200000,33
Nahitan Nández,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/315063-1594709635.jpg?lm=1,6000000,22
