name,country,position,image,worth,age
Sean Johnson,アメリカ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/126630-1618691914.jpg?lm=1,1500000,33
Ethan Horvath,アメリカ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/242284-1608457892.jpg?lm=1,800000,26
Cameron Carter-Vickers,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/341049-1654888707.jpg?lm=1,7000000,24
Walker Zimmerman,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/245337-1646130087.jpg?lm=1,3500000,29
Aaron Long,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/271072-1646141155.JPG?lm=1,3000000,29
Tim Ream,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/145466-1628697630.jpg?lm=1,500000,34
Antonee Robinson,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/349701-1536047233.jpg?lm=1,8000000,24
Sergiño Dest,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/361104-1581956984.jpg?lm=1,18000000,21
Joe Scally,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/504153-1662965954.jpg?lm=1,8000000,19
DeAndre Yedlin,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/255916-1647683071.jpg?lm=1,3100000,28
Shaq Moore,アメリカ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/336168-1658665728.jpg?lm=1,800000,25
Tyler Adams,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/332705-1666472142.jpg?lm=1,17000000,23
Kellyn Acosta,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/189895-1646503608.jpg?lm=1,3000000,27
Weston McKennie,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/332697-1642687384.jpg?lm=1,25000000,23
Yunus Musah,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/503991-1669382799.jpg?lm=1,15000000,19
Cristian Roldán,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/354792-1647635907.jpg?lm=1,6000000,27
Luca de la Torre,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/315762-1657208727.jpg?lm=1,900000,23
Giovanni Reyna,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/504215-1636537626.jpg?lm=1,35000000,19
Brenden Aaronson,アメリカ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/393323-1583780617.JPG?lm=1,20000000,21
Jordan Morris,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/337807-1647636174.jpg?lm=1,5000000,27
Christian Pulisic,アメリカ,フォワード,https://img.a.transfermarkt.technology/portrait/small/315779-1638811757.jpg?lm=1,42000000,23
