name,country,position,image,playerpage
Gege Soriola,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/gege-soriola/profil/spieler/189260
James Okwuosa,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/211804-1523873886.jpg?lm=1,https://www.transfermarkt.jp/james-okwuosa/profil/spieler/211804
Gabriel Ikechukwu,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/gabriel-ikechukwu/profil/spieler/266382
Umar Zango,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/umar-zango/profil/spieler/251354
Erhun Obanor,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/447213-1605133613.jpg?lm=1,https://www.transfermarkt.jp/erhun-obanor/profil/spieler/447213
Elderson,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/59938-1504015864.jpg?lm=1,https://www.transfermarkt.jp/elderson/profil/spieler/59938
Juwon Oshaniwa,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/juwon-oshaniwa/profil/spieler/223431
Francis Benjamin,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/francis-benjamin/profil/spieler/272813
Solomon Kwambe,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/221178-1582380337.jpg?lm=1,https://www.transfermarkt.jp/solomon-kwambe/profil/spieler/221178
Bright Esieme,ナイジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/bright-esieme/profil/spieler/315999
Mikel John Obi,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/30739-1483700848.jpg?lm=1,https://www.transfermarkt.jp/mikel-john-obi/profil/spieler/30739
Ogenyi Onazi,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/131709-1579134340.png?lm=1,https://www.transfermarkt.jp/ogenyi-onazi/profil/spieler/131709
Fegor Ogude,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/164487-1537938589.png?lm=1,https://www.transfermarkt.jp/fegor-ogude/profil/spieler/164487
Abdullahi Shehu,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/262687-1664805478.png?lm=1,https://www.transfermarkt.jp/abdullahi-shehu/profil/spieler/262687
Ugonna Uzochukwu,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/265493-1551554334.jpg?lm=1,https://www.transfermarkt.jp/ugonna-uzochukwu/profil/spieler/265493
Ikenna Paul Hillary,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,https://www.transfermarkt.jp/ikenna-paul-hillary/profil/spieler/355371
Joel Obi,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/45581-1630590262.jpg?lm=1,https://www.transfermarkt.jp/joel-obi/profil/spieler/45581
Ramon Azeez,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/131667-1583308689.jpg?lm=1,https://www.transfermarkt.jp/ramon-azeez/profil/spieler/131667
Nosa Igiebor,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_108636_150_2014_01_10_1.jpg?lm=1,https://www.transfermarkt.jp/nosa-igiebor/profil/spieler/108636
John Ogu,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_84700_2990_2013_06_24_1.jpg?lm=1,https://www.transfermarkt.jp/john-ogu/profil/spieler/84700
Reuben Gabriel,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/143622-1520102878.jpg?lm=1,https://www.transfermarkt.jp/reuben-gabriel/profil/spieler/143622
Victor Moses,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/59866-1632577912.png?lm=1,https://www.transfermarkt.jp/victor-moses/profil/spieler/59866
Michel Babatunde,ナイジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/177688-1494340005.jpg?lm=1,https://www.transfermarkt.jp/michel-babatunde/profil/spieler/177688
