name,country,position,image,worth,age
Fernando,ブラジル,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/105456-1665560457.png?lm=1,9000000,22
Jean,ブラジル,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/69641-1543836511.jpg?lm=1,5500000,27
Ramires,ブラジル,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/54170-1513586143.jpg?lm=1,30000000,26
Paulinho,ブラジル,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/57229-1563350348.jpg?lm=1,16000000,25
Oscar,ブラジル,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/85314-1563435929.jpg?lm=1,34000000,22
Hernanes,ブラジル,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/52897-1410955079.jpg?lm=1,22000000,28
Neymar,ブラジル,フォワード,https://img.a.transfermarkt.technology/portrait/small/68290-1669394812.jpg?lm=1,60000000,21
Bernard,ブラジル,フォワード,https://img.a.transfermarkt.technology/portrait/small/175169-1520412519.jpg?lm=1,18000000,22
Robinho,ブラジル,フォワード,https://img.a.transfermarkt.technology/portrait/small/15511-1506092397.jpg?lm=1,6500000,29
Lucas Moura,ブラジル,フォワード,https://img.a.transfermarkt.technology/portrait/small/77100-1654164113.jpg?lm=1,33000000,21
Willian,ブラジル,フォワード,https://img.a.transfermarkt.technology/portrait/small/52769-1575041246.jpg?lm=1,30000000,25
Hulk,ブラジル,フォワード,https://img.a.transfermarkt.technology/portrait/small/80562-1563436073.jpg?lm=1,48000000,27
Alexandre Pato,ブラジル,フォワード,https://img.a.transfermarkt.technology/portrait/small/37579-1647201883.jpg?lm=1,10000000,24
Fred,ブラジル,フォワード,https://img.a.transfermarkt.technology/portrait/small/31005-1506092346.jpg?lm=1,7000000,30
Jô,ブラジル,フォワード,https://img.a.transfermarkt.technology/portrait/small/34156-1662313892.jpg?lm=1,4000000,27
Simon Mignolet,ベルギー,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/50219-1616529337.jpg?lm=1,12000000,25
Koen Casteels,ベルギー,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/108880-1657202120.jpg?lm=1,2500000,22
Sammy Bossut,ベルギー,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/48064-1487767255.jpg?lm=1,1800000,28
Thomas Kaminski,ベルギー,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/77757-1546948273.jpg?lm=1,1500000,21
Vincent Kompany,ベルギー,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/9594-1454414462.jpg?lm=1,35000000,27
Jan Vertonghen,ベルギー,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/43250-1668080180.jpg?lm=1,22000000,26
Thomas Vermaelen,ベルギー,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/15904-1464867040.jpg?lm=1,14000000,28
Toby Alderweireld,ベルギー,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/42710-1664349412.jpg?lm=1,10000000,24
Nicolas Lombaerts,ベルギー,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/20587-1536244273.jpg?lm=1,9000000,28
Laurent Ciman,ベルギー,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/22338-1584473310.jpg?lm=1,3200000,28
Jelle Van Damme,ベルギー,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/4323-1587382665.jpg?lm=1,3000000,30
Daniel Van Buyten,ベルギー,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/4740-1597936325.jpg?lm=1,1000000,36
Sébastien Pocognoli,ベルギー,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/17804-1406703836.jpg?lm=1,2500000,26
Thomas Meunier,ベルギー,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/100986-1662361426.jpg?lm=1,3500000,22
Anthony Vanden Borre,ベルギー,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/15844-1484125408.jpg?lm=1,2000000,26
Axel Witsel,ベルギー,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/35047-1665067807.jpg?lm=1,35000000,25
Steven Defour,ベルギー,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/33866-1616956729.jpg?lm=1,7000000,25
Guillaume Gillet,ベルギー,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/31952-1594035839.jpg?lm=1,3500000,29
Timmy Simons,ベルギー,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/3441-1511183634.jpg?lm=1,1000000,37
Marouane Fellaini,ベルギー,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/39679-1549036391.jpg?lm=1,23000000,26
Mousa Dembélé,ベルギー,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/19368-1563265500.png?lm=1,20000000,26
Radja Nainggolan,ベルギー,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/41982-1666894874.jpg?lm=1,17000000,25
Kevin De Bruyne,ベルギー,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/88755-1626449012.jpg?lm=1,15000000,22
Eden Hazard,ベルギー,フォワード,https://img.a.transfermarkt.technology/portrait/small/50202-1665067742.jpg?lm=1,45000000,23
Nacer Chadli,ベルギー,フォワード,https://img.a.transfermarkt.technology/portrait/small/59631-1664281563.jpg?lm=1,8000000,24
Kevin Mirallas,ベルギー,フォワード,https://img.a.transfermarkt.technology/portrait/small/33639-1605139873.jpeg?lm=1,12000000,26
Adnan Januzaj,ベルギー,フォワード,https://img.a.transfermarkt.technology/portrait/small/177847-1661930984.jpg?lm=1,6000000,18
Romelu Lukaku,ベルギー,フォワード,https://img.a.transfermarkt.technology/portrait/small/96341-1661780981.jpg?lm=1,25000000,20
Christian Benteke,ベルギー,フォワード,https://img.a.transfermarkt.technology/portrait/small/50201-1576743159.jpg?lm=1,18000000,23
Dries Mertens,ベルギー,フォワード,https://img.a.transfermarkt.technology/portrait/small/56416-1659628943.jpg?lm=1,10000000,26
Jelle Vossen,ベルギー,フォワード,https://img.a.transfermarkt.technology/portrait/small/42748-1626769746.jpg?lm=1,6000000,24
Divock Origi,ベルギー,フォワード,https://img.a.transfermarkt.technology/portrait/small/148368-1661510925.jpg?lm=1,1000000,18
Moisés Muñoz,メキシコ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/54856-1523620545.jpg?lm=1,2700000,33
Jesús Corona,メキシコ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/s_29574_3711_2013_07_26_1.jpg?lm=1,2500000,32
Alfredo Talavera,メキシコ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/50965-1668452910.jpg?lm=1,2000000,31
Héctor Moreno,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/51046-1454601493.jpg?lm=1,7000000,26
Diego Reyes,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/131090-1547029254.jpg?lm=1,6000000,21
Francisco Rodríguez,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/28163-1506524466.jpg?lm=1,2500000,32
Hugo Ayala,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/52965-1669107448.jpg?lm=1,2500000,26
Hiram Mier,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_107136_2407_2013_06_24_1.jpg?lm=1,2300000,24
Juan Carlos Valenzuela,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_53065_3631_2013_07_24_1.jpg?lm=1,1800000,29
Julio Domínguez,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/53180-1580830060.jpg?lm=1,1800000,26
Carlos Salcido,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/31434-1544358704.png?lm=1,1500000,33
Rafa Márquez,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/2904-1449060939.jpg?lm=1,1000000,35
Oswaldo Alanís,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/106282-1618851430.jpg?lm=1,1000000,24
Miguel Herrera,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/234231-1558355261.png?lm=1,1500000,25
Luis Venegas,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/66913-1488310353.jpg?lm=1,1000000,30
Jorge Torres Nilo,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_58642_7055_2013_06_24_1.jpg?lm=1,3500000,25
Adrián Aldrete,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_54817_3631_2013_07_24_1.jpg?lm=1,2000000,25
Edwin Hernández,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/66844-1544358834.png?lm=1,1800000,28
Miguel Ponce,メキシコ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_147632_6711_2013_07_26_1.jpg?lm=1,1500000,24
